sport,venue,zone,session_code,date,day_of_week,games_day,session_type,events,start_time,end_time,times_are_local,has_gold_medal,has_bronze_medal
3x3 Basketball,Valley Complex 3,Valley,BK301,2028-07-16,Sunday,2,Preliminary,Men's Pool Round (2 Games); Women's Pool Round (2 Games),14:00,16:00,PT,False,False
3x3 Basketball,Valley Complex 3,Valley,BK302,2028-07-16,Sunday,2,Preliminary,Men's Pool Round (2 Games); Women's Pool Round (2 Games),17:30,19:30,PT,False,False
3x3 Basketball,Valley Complex 3,Valley,BK303,2028-07-16,Sunday,2,Preliminary,Men's Pool Round (2 Games); Women's Pool Round (2 Games),21:00,23:00,PT,False,False
3x3 Basketball,Valley Complex 3,Valley,BK304,2028-07-17,Monday,3,Preliminary,Men's Pool Round (2 Games); Women's Pool Round (2 Games),14:00,16:00,PT,False,False
3x3 Basketball,Valley Complex 3,Valley,BK305,2028-07-17,Monday,3,Preliminary,Men's Pool Round (2 Games); Women's Pool Round (2 Games),17:30,19:30,PT,False,False
3x3 Basketball,Valley Complex 3,Valley,BK306,2028-07-17,Monday,3,Preliminary,Men's Pool Round (2 Games); Women's Pool Round (2 Games),21:00,23:00,PT,False,False
3x3 Basketball,Valley Complex 3,Valley,BK307,2028-07-18,Tuesday,4,Preliminary,Men's Pool Round (2 Games); Women's Pool Round (2 Games),14:00,16:00,PT,False,False
3x3 Basketball,Valley Complex 3,Valley,BK308,2028-07-18,Tuesday,4,Preliminary,Men's Pool Round (2 Games); Women's Pool Round (2 Games),17:30,19:30,PT,False,False
3x3 Basketball,Valley Complex 3,Valley,BK309,2028-07-18,Tuesday,4,Preliminary,Men's Pool Round (2 Games); Women's Pool Round (2 Games),21:00,23:00,PT,False,False
3x3 Basketball,Valley Complex 3,Valley,BK310,2028-07-19,Wednesday,5,Preliminary,Men's Pool Round (2 Games); Women's Pool Round (2 Games),14:00,16:00,PT,False,False
3x3 Basketball,Valley Complex 3,Valley,BK311,2028-07-19,Wednesday,5,Preliminary,Men's Pool Round (2 Games); Women's Pool Round (2 Games),17:30,19:30,PT,False,False
3x3 Basketball,Valley Complex 3,Valley,BK312,2028-07-19,Wednesday,5,Preliminary,Men's Pool Round (2 Games); Women's Pool Round (2 Games),21:00,23:00,PT,False,False
3x3 Basketball,Valley Complex 3,Valley,BK313,2028-07-20,Thursday,6,Preliminary,Men's Pool Round (2 Games); Women's Pool Round (2 Games),14:00,16:00,PT,False,False
3x3 Basketball,Valley Complex 3,Valley,BK314,2028-07-20,Thursday,6,Preliminary,Men's Pool Round (2 Games); Women's Pool Round (2 Games),17:30,19:30,PT,False,False
3x3 Basketball,Valley Complex 3,Valley,BK315,2028-07-20,Thursday,6,Preliminary,Men's Pool Round (2 Games); Women's Pool Round (2 Games),21:00,23:00,PT,False,False
3x3 Basketball,Valley Complex 3,Valley,BK316,2028-07-21,Friday,7,Preliminary,Men's Play-In (2 Games); Women's Play-In (2 Games),14:00,16:00,PT,False,False
3x3 Basketball,Valley Complex 3,Valley,BK317,2028-07-21,Friday,7,Quarterfinal,Men's Quarterfinal (2 Games); Women's Quarterfinal (2 Games),17:30,19:30,PT,False,False
3x3 Basketball,Valley Complex 3,Valley,BK318,2028-07-21,Friday,7,Quarterfinal,Men's Quarterfinal (2 Games); Women's Quarterfinal (2 Games),21:00,23:00,PT,False,False
3x3 Basketball,Valley Complex 3,Valley,BK319,2028-07-22,Saturday,8,Semifinal,Men's Semifinal (2 Games); Women's Semifinal (2 Games),17:00,19:00,PT,False,False
3x3 Basketball,Valley Complex 3,Valley,BK320,2028-07-22,Saturday,8,Final,Men's Bronze Medal Game; Women's Bronze Medal Game; Men's Gold Medal Game; Women's Gold Medal Game,21:00,23:30,PT,True,True
Archery,N/A,Carson,ARC01,2028-07-19,Wednesday,5,N/A,Not Ticketed; Women's Compound Qualification Round; Men's Recurve Qualification Round,9:30,12:00,PT,False,False
Archery,N/A,Carson,ARC02,2028-07-19,Wednesday,5,N/A,Not Ticketed; Men's Compound Qualification Round; Women's Recurve Qualification Round,13:30,16:30,PT,False,False
Archery,Carson Stadium,Carson,ARC03,2028-07-21,Friday,7,Final,Compound Mixed Team 1/8 Elimination Round; Compound Mixed Team Quarterfinal; Compound Mixed Team Semifinal; Compound Mixed Team Bronze Medal Match; Compound Mixed Team Gold Medal Match,19:30,23:15,PT,True,True
Archery,Carson Stadium,Carson,ARC04,2028-07-22,Saturday,8,Preliminary,Recurve Men's Individual 1/32 Elimination Round; Recurve Women's Individual 1/32 Elimination Round,9:30,12:35,PT,False,False
Archery,Carson Stadium,Carson,ARC05,2028-07-22,Saturday,8,Preliminary,Recurve Men's Individual 1/32 Elimination Round; Recurve Women's Individual 1/32 Elimination Round; Recurve Men's Individual 1/16 Elimination Round; Recurve Women's Individual 1/16 Elimination Round,20:00,22:35,PT,False,False
Archery,Carson Stadium,Carson,ARC06,2028-07-23,Sunday,9,Preliminary,Recurve Men's Individual 1/32 Elimination Round; Recurve Women's Individual 1/32 Elimination Round; Recurve Men's Individual 1/16 Elimination Round; Recurve Women's Individual 1/16 Elimination Round,9:30,12:35,PT,False,False
Archery,Carson Stadium,Carson,ARC07,2028-07-23,Sunday,9,Preliminary,Recurve Men's Individual 1/32 Elimination Round; Recurve Women's Individual 1/32 Elimination Round; Recurve Men's Individual 1/16 Elimination Round; Recurve Women's Individual 1/16 Elimination Round,20:00,22:35,PT,False,False
Archery,Carson Stadium,Carson,ARC08,2028-07-24,Monday,10,Preliminary,Recurve Women's Individual 1/32 Elimination Round; Recurve Women's Individual 1/16 Elimination Round,10:30,12:40,PT,False,False
Archery,Carson Stadium,Carson,ARC09,2028-07-24,Monday,10,Final,Recurve Men's Team Quarterfinal; Recurve Men's Team Semifinal; Recurve Men's Team Bronze Medal Match; Recurve Men's Team Gold Medal Match,19:30,23:10,PT,True,True
